"Balance","QualMiles","BonusMiles","BonusTrans","FlightMiles","FlightTrans","DaysSinceEnroll","AirlineCluster_K.cluster"
28143,0,174,1,0,0,7000,4
19244,0,215,2,0,0,6968,4
41354,0,4123,4,0,0,7034,4
14776,0,500,1,0,0,6952,4
97752,0,43300,26,2077,4,6935,1
16420,0,0,0,0,0,6942,4
84914,0,27482,25,0,0,6994,3
20856,0,5250,4,250,1,6938,4
443003,0,1753,43,3850,12,6948,2
104860,0,28426,28,1150,3,6931,3
40091,0,7278,10,0,0,6959,4
96522,0,61105,19,0,0,6924,1
43382,0,11150,20,0,0,6924,4
43097,0,3258,6,0,0,6918,4
17648,0,0,0,0,0,6912,4
28495,0,49442,15,0,0,6912,4
51890,0,48963,16,0,0,6910,4
13958,0,4291,5,0,0,6905,4
91473,0,27408,17,0,0,6903,4
23354,0,10447,5,0,0,6896,4
120576,0,58831,23,250,2,6896,1
185681,2024,13300,16,1800,9,6896,1
20584,0,3450,11,3450,11,6884,4
66275,0,2533,11,150,1,6884,4
205651,500,4025,21,700,4,7932,4
20726,0,1375,4,0,0,7924,4
18521,0,1227,2,1227,2,7917,4
8828,0,0,0,0,0,7914,4
59763,0,33772,20,100,1,7907,4
19221,0,4655,8,500,1,7896,4
177926,0,20797,13,0,0,7886,4
10021,0,0,0,0,0,7879,4
276571,0,42044,23,0,0,7872,1
18047,0,100,1,0,0,7868,4
43832,0,0,0,0,0,7865,4
123759,0,50572,23,2500,5,7865,1
23193,0,650,4,550,3,7861,4
68666,0,350,2,350,2,7861,4
59990,0,27878,17,0,0,7854,4
2176,0,0,0,0,0,7847,4
34616,0,1750,4,500,1,7850,4
10470,0,38094,26,0,0,7840,4
60313,0,10000,26,3250,9,7829,2
619393,0,15008,14,0,0,7819,1
121260,0,18493,18,0,0,7808,4
288865,967,23600,14,2000,4,6884,1
92336,0,11214,6,0,0,6884,4
36924,0,5900,6,300,2,6879,4
70312,0,34678,24,500,1,6875,3
17051,0,1150,4,1150,4,6868,4
108137,0,6368,5,6368,5,6844,2
1300,0,370,1,0,0,6868,4
118531,0,44577,38,0,0,6868,1
121395,0,4970,8,650,2,6889,4
38348,0,0,0,0,0,6861,4
14448,0,1625,6,0,0,6856,4
75971,0,34339,14,0,0,6869,4
36298,0,3100,5,600,3,6865,4
38077,0,34024,8,0,0,6837,4
95118,0,23188,23,2200,7,6865,3
134457,0,15588,14,0,0,6861,4
19918,0,17601,11,0,0,6863,4
10120,0,0,0,0,0,6864,4
362642,0,28079,8,0,0,6835,1
80250,0,895,2,0,0,6833,4
53914,0,33767,45,5550,29,6826,2
9375,0,1750,7,0,0,6826,4
83237,0,35287,18,0,0,6837,4
230715,0,24047,12,0,0,6826,4
47457,0,12621,16,0,0,7766,4
84409,5031,15436,16,1150,4,7766,1
252386,0,39787,13,0,0,7787,1
550367,0,12500,13,50,1,7801,1
12646,0,631,4,631,4,7787,4
123867,0,25308,17,0,0,7759,4
129871,0,15776,22,0,0,7752,4
109380,0,7537,16,0,0,7749,4
111157,0,32883,19,0,0,7771,4
49238,0,38037,18,0,0,7801,4
38896,0,76988,16,556,1,7771,1
4340,0,32685,5,0,0,7733,4
88443,0,1200,3,1200,3,6837,4
8454,0,498,9,0,0,6821,4
61990,0,1625,6,0,0,6833,4
24093,0,1750,7,0,0,6819,4
35418,0,58557,18,900,3,6813,1
40284,0,7719,5,0,0,6827,4
609477,0,21422,22,1200,8,6820,1
62553,0,7672,16,700,1,6819,4
48433,0,3500,4,500,1,6807,4
20508,0,22250,8,1250,5,6794,4
2000,0,2000,4,2000,4,6809,4
78629,0,36679,25,0,0,6817,3
143566,0,5000,5,1500,3,6785,4
185549,0,110859,39,2950,16,6778,2
16796,0,2875,16,0,0,6773,4
57346,0,5560,23,0,0,6766,4
102062,0,44247,16,0,0,6758,4
22324,0,1375,4,0,0,6753,4
64824,0,20184,13,0,0,6770,4
25076,1182,57203,14,0,0,6750,1
8053,0,0,0,0,0,6750,4
35119,0,0,0,0,0,6749,4
28667,0,3861,7,2050,5,6749,4
34327,0,0,0,0,0,6745,4
3734,0,61096,18,150,2,6760,3
96627,1182,49059,26,2300,9,6738,1
43498,0,0,0,0,0,6759,4
84674,0,46335,14,50,1,6738,4
15098,0,32917,26,550,3,6737,3
181019,0,18415,15,0,0,7714,4
298911,0,8550,11,2550,8,7714,1
124198,0,66330,23,4833,10,7710,2
56906,0,2015,13,0,0,7707,4
295638,0,5422,20,818,2,7700,1
67018,0,23260,25,0,0,7698,4
143967,0,7346,11,0,0,7689,4
969559,0,2500,3,1000,2,7718,1
122705,0,24222,15,0,0,7682,4
16583,0,2625,7,0,0,7682,4
77540,0,1000,1,0,0,7683,4
205126,0,126630,45,2250,10,7668,1
81974,0,37266,18,1050,3,7661,4
47258,0,24768,19,0,0,7659,4
77699,0,42775,13,0,0,7654,4
133954,500,37670,18,1500,3,7654,1
602064,0,194753,26,2250,10,7652,1
213150,0,56308,41,5200,14,7645,2
48333,0,10123,14,0,0,6737,4
142175,0,37461,22,0,0,6732,1
17469,0,0,0,0,0,6730,4
19823,0,1095,3,335,1,6730,4
145074,0,8000,4,0,0,6746,4
101101,0,10850,11,1850,6,6725,4
125948,0,15155,15,0,0,6761,4
259484,1776,19172,26,7172,23,6723,2
129298,0,29099,15,0,0,6722,4
103302,0,53552,22,700,3,6718,1
160447,0,8578,25,0,0,6716,4
15472,0,3500,14,0,0,6715,4
39628,0,0,0,0,0,6711,4
6112,0,0,0,0,0,6709,4
31769,0,450,2,450,2,6707,4
126787,0,35021,17,0,0,6701,4
41547,0,16857,17,0,0,6697,4
100640,0,7600,8,1600,5,6708,4
18707,0,100,1,0,0,6693,4
50593,0,58208,17,1500,2,6689,1
84631,0,20415,17,0,0,6736,4
24868,0,205,5,0,0,6689,4
77097,0,42403,22,1718,4,6683,1
930410,0,211284,18,2250,6,7640,1
298121,0,60808,20,500,1,7640,1
87474,0,4581,15,0,0,7634,4
48707,0,37655,14,0,0,7631,4
220081,0,52574,21,500,1,7626,1
212976,0,19926,12,0,0,7624,4
44182,0,12313,12,0,0,7619,4
228829,0,59852,21,0,0,7612,1
46823,0,5860,12,0,0,7613,4
69110,0,18500,19,0,0,7598,4
120700,0,55323,17,1500,1,7598,1
152945,0,18604,6,3604,2,7598,4
10302,0,30298,19,0,0,7591,4
80331,0,15489,18,0,0,7634,4
69882,0,180,6,0,0,7582,4
95658,0,5269,18,0,0,7584,4
402874,0,74800,15,0,0,7582,1
370941,0,44615,16,0,0,7577,1
21694,0,45230,20,700,2,7575,4
71767,0,67335,13,0,0,7570,1
35820,0,0,0,0,0,7575,4
352508,0,23740,6,1000,2,7563,1
149285,0,15656,13,3250,6,7561,4
120941,0,42301,21,0,0,7588,1
451673,0,43533,19,900,4,7575,1
106961,0,7357,19,200,2,7572,4
28086,1745,7368,12,0,0,7549,4
60230,0,500,1,0,0,7544,4
6663,0,1125,7,750,4,7575,4
48145,0,10735,27,0,0,7540,4
127807,0,17086,16,1500,3,7537,4
32948,0,50,1,50,1,7569,4
8933,0,8860,14,0,0,7533,4
49885,0,23640,17,0,0,7533,4
89999,0,11694,13,0,0,7530,4
707079,0,57173,40,3450,12,7523,2
211595,0,3250,8,0,0,7521,4
410795,0,73679,31,0,0,7514,1
72173,0,2954,13,232,1,7509,4
123516,0,240544,31,500,2,7507,1
143080,733,44373,38,3928,17,7575,2
386061,0,107813,24,0,0,7500,1
52738,2398,0,0,0,0,7498,4
24523,0,100,1,0,0,7493,4
134601,0,0,0,0,0,7493,4
32742,0,61857,26,0,0,7488,1
108341,0,19670,21,0,0,7488,4
8669,0,11397,16,0,0,7486,4
118940,0,36001,17,150,1,7484,4
41385,0,26948,14,0,0,7481,4
28621,0,13878,20,1400,10,7479,4
16230,0,486,2,0,0,7477,4
152881,0,79687,18,500,1,7474,1
37348,0,0,0,0,0,7472,4
51468,0,2278,9,0,0,7460,4
95989,0,92159,30,1329,4,7518,1
23184,1250,3694,12,1150,3,7467,4
27381,0,18009,18,0,0,7524,4
6854,0,0,0,0,0,7467,4
201346,0,99612,34,600,4,7463,1
31588,0,2947,8,0,0,7463,4
204582,0,4671,14,0,0,7498,4
8298,0,20087,15,0,0,7498,4
10097,0,2700,1,2700,1,7498,4
114356,0,27308,14,0,0,7456,4
1344,0,1134,9,0,0,7498,4
59797,0,7069,4,0,0,7444,4
189053,0,24156,22,0,0,7439,1
143481,0,45891,15,0,0,7437,1
1302051,2706,90653,32,3050,7,7467,1
229744,0,68754,35,550,2,7467,1
75039,0,2750,10,250,1,7435,4
20203,0,750,6,0,0,7467,4
193976,0,10849,14,0,0,7416,4
98224,0,5570,11,0,0,7467,4
117329,0,6448,11,0,0,7416,4
119239,0,36362,15,250,1,7467,4
53715,0,7164,15,300,2,7416,4
153747,0,58689,15,0,0,7409,1
133309,0,23987,13,0,0,7415,4
81380,0,56524,22,0,0,7404,1
22074,0,6039,15,0,0,7404,4
24051,0,8764,13,0,0,7395,4
11449,0,9057,13,0,0,7397,4
182317,0,19489,17,273,1,7397,4
46184,0,3125,12,500,1,7388,4
285116,0,8471,18,500,1,7406,4
30962,0,97683,37,6400,18,7360,2
15525,0,3853,6,0,0,7406,4
163530,0,88987,25,0,0,7406,1
2075,0,5002,14,0,0,7374,4
227881,0,41186,13,0,0,7369,1
118934,0,66222,37,2250,17,7354,2
468175,0,141615,22,0,0,7348,1
12526,0,56076,19,3850,11,7375,2
176090,0,5300,9,2200,6,7344,4
15221,0,4425,9,0,0,7361,4
92875,0,60990,14,0,0,7344,1
88702,0,9620,13,50,1,7406,4
62882,0,1925,8,0,0,7375,4
30015,0,5875,32,0,0,7341,3
87293,0,21584,17,1050,2,7406,4
45225,0,14711,15,0,0,7339,4
96098,0,12500,4,0,0,7339,4
236274,0,61515,12,0,0,7375,1
423540,0,8534,14,2100,9,7375,1
25279,0,14938,26,0,0,7327,4
198137,0,6303,6,500,1,7323,4
402312,0,77122,18,250,3,7375,1
149733,0,605,3,500,1,7323,4
70730,0,1319,12,0,0,7316,4
164613,0,11095,13,0,0,7375,4
47557,0,10267,18,200,3,7345,4
35065,0,5400,5,1400,3,7311,4
105769,0,23097,16,0,0,7345,4
35900,0,0,0,0,0,7304,4
43088,0,4000,1,0,0,7345,4
58703,0,46473,34,950,4,7296,1
70354,0,120907,22,0,0,7290,1
145726,0,19019,15,0,0,7292,4
121639,0,67286,7,0,0,7288,1
70676,0,74993,15,0,0,7288,1
18263,0,2100,4,1000,2,7285,4
51250,0,0,0,0,0,7283,4
1704838,0,17108,32,4823,23,7283,2
12895,0,0,0,0,0,7277,4
120073,0,12423,29,0,0,7276,3
2003,0,980,2,0,0,7274,4
22652,0,57642,14,0,0,7271,4
168515,0,4600,4,0,0,7269,4
44873,0,38740,18,850,2,7267,4
190542,1745,8487,9,0,0,7267,4
156230,0,5300,8,1300,5,7260,4
79211,0,36776,14,0,0,7260,4
98006,0,46349,20,2309,3,7332,1
33982,0,68320,17,0,0,7255,1
62998,0,11326,24,0,0,7253,4
137908,0,57713,19,0,0,7250,1
45586,0,37459,15,0,0,7246,4
568174,0,67121,16,1000,2,7243,1
145993,0,95082,17,500,1,7229,1
294881,0,84800,20,0,0,7279,1
12195,0,3875,17,0,0,7229,4
16622,0,0,0,0,0,7229,4
141813,0,39743,14,0,0,7254,4
58139,500,38408,16,150,1,7227,4
238868,0,20521,16,0,0,7220,4
149286,0,42141,30,2400,13,7222,2
35945,0,0,0,0,0,7220,4
28218,0,750,4,750,4,7232,4
7061,0,7100,12,0,0,7218,4
217846,0,49198,20,0,0,7215,1
364387,0,28200,27,0,0,7213,1
125465,0,14750,9,0,0,7206,4
94222,0,52081,24,0,0,7201,1
123370,0,7478,16,0,0,7197,4
383030,2998,8001,25,3226,15,7326,2
112969,0,7572,7,0,0,7192,4
46430,0,2100,4,500,1,7194,4
179433,0,30476,15,0,0,7187,4
20746,0,37534,17,0,0,7185,4
61455,0,28765,17,0,0,7183,4
714717,0,119162,20,1750,4,7183,1
179559,0,17819,12,1000,2,7173,4
119977,2556,9275,16,1400,4,7226,4
16928,0,1000,1,0,0,7173,4
65316,0,3917,10,0,0,7254,4
766419,0,11398,3,398,1,7162,1
52060,0,6500,3,0,0,7162,4
84700,0,13544,17,0,0,7162,4
205523,0,32404,20,1000,2,7159,1
20457,0,51399,16,0,0,7193,4
278727,0,21666,19,9166,16,7155,2
50325,0,11930,14,0,0,7155,4
455228,0,258,2,258,2,7141,4
73849,0,11793,21,0,0,7250,4
388455,0,114329,26,6078,8,7164,2
138999,0,63738,29,600,4,7153,1
65573,0,3875,23,0,0,7130,4
172288,0,66879,10,0,0,7130,1
47958,0,0,0,0,0,7130,4
133002,0,15672,21,150,1,7117,4
42363,0,0,0,0,0,7120,4
133370,0,44299,18,0,0,7101,1
278457,6727,57313,27,1000,2,7101,1
105166,1374,37663,22,0,0,7120,1
34956,0,0,0,0,0,7172,4
46963,0,1500,5,0,0,7117,4
55788,0,24831,12,0,0,7314,4
174910,0,63960,20,200,1,7110,1
13812,0,15149,39,0,0,7110,3
38718,0,0,0,0,0,7314,4
112501,0,19140,11,0,0,7101,4
54005,0,1500,5,0,0,7099,4
66863,0,36532,9,0,0,7099,4
93045,0,17636,15,0,0,7092,4
197328,0,60447,12,0,0,7092,1
151301,0,37772,14,0,0,7092,4
87938,0,11268,2,0,0,7085,4
