EBITDA_TO_Interest_Expense,Retained_Earnings_TO_Debt,EBIT_TO_Interest Expense,Debt_TO_EBITDA,Debt_TO_Capital,Asset_TO_Size,log10_Asset Size,EBITDA_Margin,Default_Flag
4.4,0.012813668,2.3,21.28409091,72.03846154,2459000,6.390758529,0.067901235,0
5.408163265,0.13421659,4.285714286,3.275471698,7.387234043,2480000,6.394451681,0.132202544,0
9.065934066,0.399491094,7.593406593,1.905454545,2.495238095,2366000,6.37401474,0.177916757,0
9.352941176,0.710021322,7.576470588,1.769811321,1.405594406,2490000,6.396199347,0.157114625,0
6.416666667,0.94165316,4.416666667,2.670995671,1.060137457,3947000,6.596267126,0.067881281,0
15.53846154,1.856338028,16.27692308,1.054455446,0.538150581,3270000,6.514547753,0.20928305,0
13.1046334,1.086140365,10.60488798,0.966605148,0.920674278,134758,5.129554557,0.549523871,0
7.744246522,0.306983926,5.601482252,3.969040144,3.257454666,363517,5.560524726,0.474238214,0
5.870548512,0.097462776,3.436325412,3.304460119,10.25998181,457224,5.660129019,0.521720915,0
9.417949757,0.628279996,6.586709887,1.769390726,1.591636781,471267000,8.67326703,0.527893438,0
7.90409755,0.616794784,3.99747336,3.429820294,1.621274136,477675000,8.679132512,0.421878756,0
10.79390343,0.381514567,6.911608668,4.08278976,2.621131898,788248000,8.896662877,0.512164215,0
12.72223521,1.698909657,4.747720365,0.589932553,0.588612817,152844000,8.184248395,0.420343147,0
10.99481865,1.866954023,2.651338515,0.888312912,0.53563183,327969000,8.515832796,0.461346136,0
11.19976247,2.652878946,5.238598575,0.489151874,0.376948975,357919000,8.553784753,0.539318517,0
1.027953378,-0.001855021,0.979701699,19.08811377,-539.0773406,403448000,8.605787567,1,0
1.440758658,0.012323818,1.343162098,29.82721313,81.14368566,569330000,8.755364069,1,0
1.474055316,0.004377648,1.197328566,19.22205754,228.4331465,578186000,8.762067572,1,0
9.810269075,0,9.810269075,1.797684666,9.22238431,4765052,6.678067644,0.790342357,0
1.930232558,3.222222222,1.869767442,2.624096386,0.25984252,7657000,6.884058647,24.41176471,0
5.931506849,5.462686567,5.712328767,1.547344111,0.154306771,5218000,6.717504075,216.5,0
0.535714286,3.625806452,0.178571429,41.33333333,0.211604096,3748000,6.573799582,7.5,0
9.396520147,0.751949549,6.795787546,1.437189358,0.901185529,48481000,7.685571569,0.91355057,0
3.724421072,2.711169231,3.241811975,1.610146399,0.293817182,383420,5.583674763,0.168357091,0
503.8333333,1449.285714,373.3333333,0.00115779,0.000628987,17107000,7.233173855,0.352824463,0
1947.857143,1390,1577.857143,0.000806747,0.000675925,25076000,7.399258261,0.478404267,0
941.625,1689.090909,496.625,0.001460242,0.000562257,26882000,7.429461577,0.370974096,0
23390,3545.25,18739,0.000342027,0.00027261,43351000,7.63699912,0.609702057,0
12.03631216,0.258929167,5.446824225,1.227207183,0.291868187,1219405,6.086147971,0.719619669,0
15.81811043,0.487134694,6.511477588,0.935639462,0.280655933,1357214,6.132648331,0.720387687,0
26.66100578,-0.229206667,-20.49937779,0.823687043,0.413011515,1154378000,9.062348041,0.729384576,0
10.6432152,-0.997215507,-18.65300769,1.58132479,0.585570732,879584000,8.944277321,0.621174958,0
7.565157697,-0.743091667,3.365291072,1.866726125,0.667061963,1017362000,9.007475512,0.652599556,0
0.296425255,-6.592769231,0.228412256,20.36021926,-0.657512075,35796000,7.553834499,0.116344752,0
-0.031242976,-7.832355556,-0.082490447,-161.8705036,-0.50722514,26252000,7.419162396,-0.027995972,0
4.114674102,,3.997560125,0,0,13134000,7.118397012,1.347756593,0
3.042090657,,2.87372803,0,0,18605000,7.269629674,0.447750017,0
-3.445783133,,-3.621408712,0,0,10729000,7.030559245,-0.547529637,0
1.639814815,,1.425,0,0,13903000,7.143108523,0.264941282,0
7.593467686,,7.329395413,0,0,17238000,7.236486876,0.69338156,0
7.422427872,,7.14044638,0,0,78929,4.8972366,0.694458592,0
6.300456969,,6.20106626,0,0,104358000,8.018525747,0.669539881,0
212.5697523,,209.5006519,0,0,177395000,8.248941375,5.847745777,0
10.4252386,,6.62990456,0,0,233804000,8.368851937,0.336620442,0
-34.57260556,,-37.35015448,0,0,181871000,8.259763455,-0.852008832,0
28.04591837,,-10.19897959,0,0,181030000,8.257750551,0.265812379,0
,,,0,0,197677,5.295956141,0.641121227,0
9606.444444,,55.33333333,0,0,287328,5.45837795,0.830815652,0
2114.850746,-9.063686957,-165.8208955,0.202900596,0.142640259,372278,5.570867372,0.717105363,0
3.839581831,1.165437262,1.63446287,4.938503427,0.858047046,122049000,8.086534225,0.466514826,0
6.133226324,1.387508096,2.54200107,6.465323214,0.720716515,193589000,8.286880676,0.520383149,0
5.213159326,1.462384374,2.100326264,3.941118181,0.683814746,199805000,8.300606352,0.580590462,0
10.87292083,3.397672727,6.715236194,0.841390283,0.243285325,113506,5.055018819,0.066530419,0
27.96460177,3.779106529,22.79469027,0.460443038,0.255801688,134828,5.129780092,0.075802644,0
27.67730901,2.58,20.41847206,0.817781074,0.373773702,119543,5.077524151,0.40434109,0
26.50147493,1.719230769,19.47984267,1.25408133,0.6779933,144696,5.160456526,0.410628314,0
38.39328277,2.961538462,32.00433369,0.678669188,0.367635819,164218,5.215420759,0.421763607,0
56.4253876,1.304588891,50.11918605,1.053081692,0.826520022,237124,5.374975512,0.530216253,0
3.736842105,0.052805281,2.210526316,5.334507042,18.9375,1767000,6.24723655,0.245887446,0
-1.497237569,,-3.077348066,,,2917000,6.464936429,-0.093706777,0
0.446428571,,-1.178571429,,,3329000,6.522313795,0.083333333,0
